图鉴序号,枪支名称,类型,建造时间,星级,等级,血量,伤害,命中,回避,射速,穿甲,护甲,暴击几率,暴击伤害,弹链,移速,战斗效能,平Adps,理论肉度
33,m45,SMG,01:20,2,100,925,30,12,62,74,10,0,5,1.5,0,12,3620,22.20833333,33.90239198
34,M1加兰德,RF,04:00,3,100,440,120,62,28,37,10,0,40,1.5,0,7,3457,88.77272727,13.24074074
35,M1A1,RF,03:40,3,100,420,95,77,42,38,10,0,40,1.5,0,7,3320,75.32608696,13.77314815
36,春田,RF,04:25,4,100,420,128,72,40,32,10,0,40,1.5,0,7,3516,84.52173913,13.61111111
37,M14,RF,03:40,3,100,420,108,71,27,43,10,0,40,1.5,0,7,3587,96.59302326,12.55787037
38,M21,RF,03:50,3,100,465,118,74,27,35,10,0,40,1.5,0,7,3435,85.87800963,13.90335648
39,莫辛-纳甘,RF,04:10,4,100,440,131,85,38,30,10,0,40,1.5,0,7,3525,83.36938776,14.08950617
40,SVT-38,RF,03:30,2,100,420,110,59,34,34,10,0,40,1.5,0,7,3116,73.38759214,13.125
41,西蒙诺夫,RF,03:30,2,100,465,100,59,34,34,10,0,40,1.5,0,7,3059,66.86425061,14.53125
42,PTRD,RF,04:30,4,100,465,159,75,29,28,10,0,40,1.5,0,7,3640,91.41509434,14.08275463
43,SVD,RF,04:15,4,100,400,130,80,33,37,10,0,40,1.5,0,7,3786,100.4210526,12.42283951
44,SV-98,RF,03:40,3,100,420,122,74,28,37,10,0,40,1.5,0,7,3547,93.16516854,12.63888889
46,Kar98k,RF,04:40,5,100,420,135,78,41,34,10,0,40,1.5,0,7,3838,94.35483871,13.69212963
47,G43,RF,03:10,2,100,400,111,58,28,40,10,0,40,1.5,0,7,3314,87.74083673,12.03703704
48,WA2000,RF,04:50,5,100,440,130,82,30,39,10,0,40,1.5,0,7,4006,106.1150298,13.41049383
49,56式半,RF,03:50,3,100,465,103,65,36,36,10,0,40,1.5,0,7,3308,75.2652439,14.71064815
50,李-恩菲尔德,RF,05:00,5,100,400,135,78,40,36,10,0,40,1.5,0,7,3914,101.2588513,12.96296296
51,FN-49,RF,03:10,2,100,465,111,61,32,32,10,0,40,1.5,0,7,3109,71.29462243,14.35185185
52,BM59,RF,03:20,2,100,485,104,52,25,38,10,0,40,1.5,0,7,3156,76.29850746,14.31423611
53,NTW-20,RF,04:45,5,100,465,165,75,29,30,10,0,40,1.5,0,7,3913,102.5510204,14.08275463
54,M16A1,AR,03:35,4,100,605,47,46,44,75,10,0,20,1.5,0,10,3476,64.83261432,20.07330247
55,M4A1,AR,03:35,4,100,550,46,48,48,79,10,0,20,1.5,0,10,3484,67.74603175,18.67283951
56,M4 SOPMODII,AR,03:35,4,100,550,50,49,44,78,10,0,20,1.5,0,10,3528,69.81291118,18.24845679
57,ST AR-15,AR,03:35,4,100,525,48,50,50,77,10,0,20,1.5,0,10,3493,67.46963563,18.02662037
58,AK-47,AR,03:20,3,100,660,53,35,34,65,10,0,20,1.5,0,10,3194,55.74130435,20.625
60,AS Val,AR,03:30,4,100,660,39,46,49,75,10,0,20,1.5,0,10,3474,54.35461605,22.53472222
61,StG44,AR,03:00,3,100,635,53,46,36,61,10,0,20,1.5,0,10,3227,57.54713115,20.08873457
62,G41,AR,04:05,5,100,635,50,48,40,77,10,0,20,1.5,0,10,3656,69.47368421,20.5787037
63,G3,AR,02:50,2,100,550,55,46,38,61,10,0,20,1.5,0,10,3090,59.62090164,17.61188272
64,G36,AR,03:40,4,100,635,47,44,41,72,10,0,20,1.5,0,10,3412,60.91016949,20.70119599
65,HK416,AR,03:55,5,100,605,51,46,44,76,10,0,20,1.5,0,10,3647,70.07161346,20.07330247
66,56-1式,AR,03:25,4,100,690,53,35,35,69,10,0,20,1.5,0,10,3389,61.05,21.69560185
68,L85A1,AR,02:50,2,100,470,46,43,43,78,10,0,20,1.5,0,10,3074,62.45145191,15.50347222
69,FAMAS,AR,03:30,4,100,605,44,48,40,81,10,0,20,1.5,0,10,3453,64.95238095,19.60648148
70,FNC,AR,03:20,3,100,550,51,46,37,73,10,0,20,1.5,0,10,3271,66.56803279,17.50578704
71,加利尔,AR,02:40,2,100,525,50,44,43,66,10,0,20,1.5,0,10,3082,58.72881356,17.31770833
72,TAR-21,AR,03:30,4,100,525,49,48,44,79,10,0,20,1.5,0,10,3452,71.93650794,17.41898148
74,SIG-510,AR,02:40,2,100,580,56,41,37,59,10,0,20,1.5,0,10,3063,56.53607143,18.46064815
75,M1918,MG,06:25,4,100,785,96,31,33,114,10,0,5,1.5,8,4,4263,93.8482009,24.37982253
77,M2HB ,MG,06:10,3,100,1075,102,18,16,100,10,0,5,1.5,10,4,4093,87.85714286,29.86111111
78,M60,MG,06:10,4,100,910,92,26,26,111,10,0,5,1.5,9,4,4235,89.16532258,27.03317901
79,M249 SAW,MG,05:30,3,100,785,79,35,36,139,10,0,5,1.5,8,4,4108,82.79823009,24.83410494
80,M1919A4,MG,05:40,3,100,910,96,26,22,99,10,0,5,1.5,9,4,4121,91.46428571,26.33101852
81,LWMMG,MG,05:10,2,100,870,95,24,22,90,10,0,5,1.5,9,4,3885,86.484375,25.17361111
82,DP28,MG,05:00,2,100,705,88,28,31,114,10,0,5,1.5,9,4,3894,88.15644249,21.62326389
84,RPD,MG,05:30,3,100,825,82,34,34,121,10,0,5,1.5,8,4,4138,83.61526176,25.78125
85,PK,MG,06:30,4,100,950,96,21,23,84,10,0,5,1.5,11,4,4229,89.77035219,27.6716821
86,MG42,MG,05:50,3,100,825,92,23,26,132,10,0,5,1.5,10,4,4125,91.36722488,24.50810185
87,MG34,MG,05:00,2,100,825,85,22,25,120,10,0,5,1.5,10,4,3849,82.25352602,24.34895833
88,MG3,MG,06:30,4,100,990,85,26,21,130,10,0,5,1.5,10,4,4276,88.40673575,28.45486111
89,布伦,MG,05:20,3,100,870,89,31,28,102,10,0,5,1.5,8,4,4082,85.70117907,26.18055556
90,FNP-9,HG,00:25,2,100,300,28,53,83,61,10,0,20,1.5,0,15,2385,32.68658088,12.21064815
91,MP-446,HG,00:25,2,100,330,30,53,74,59,10,0,20,1.5,0,15,2421,33.43676471,12.8587963
92,Spectre M4,SMG,01:20,2,100,880,25,12,66,88,10,0,5,1.5,0,12,3604,22.10784314,32.93209877
93,IDW,SMG,01:10,2,100,750,26,15,85,75,10,0,5,1.5,0,12,3643,23.0625,30.81597222
94,64式,SMG,01:25,2,100,880,27,11,65,93,10,0,5,1.5,0,12,3609,23.98647837,32.76234568
95,汉阳造88式,RF,03:50,3,100,510,108,60,37,31,10,0,40,1.5,0,7,3210,66.3,16.23263889
96,灰熊MkⅤ,HG,01:10,5,100,430,38,51,66,54,10,0,20,1.5,0,15,2842,38.25,16.09182099
97,M950A,HG,01:05,5,100,380,30,55,68,72,10,0,20,1.5,0,15,2817,42.13392857,14.36728395
98,SPP-1,HG,00:55,4,100,380,35,61,75,48,10,0,20,1.5,0,15,2642,32.0405348,14.88040123
99,Mk23,HG,00:50,4,100,400,29,53,66,63,10,0,20,1.5,0,15,2657,35.22602302,14.9691358
100,P7,HG,00:55,4,100,315,32,62,83,61,10,0,20,1.5,0,15,2648,38.19642857,12.82118056
101,UMP9,SMG,02:15,4,100,880,26,14,76,87,10,0,5,1.5,0,12,3994,24.88691684,34.62962963
102,UMP40,SMG,02:15,4,100,900,27,14,75,85,10,0,5,1.5,0,12,4037,25.76014199,35.24305556
103,UMP45,SMG,02:15,4,100,925,28,13,74,82,10,0,5,1.5,0,12,4062,24.19122024,36.04359568
104,G36C,SMG,02:30,5,100,1015,32,13,65,83,10,0,5,1.5,0,12,4189,27.36383929,37.78838735
105,OTs-12,AR,03:10,3,100,525,42,54,54,72,10,0,20,1.5,0,10,3281,57.46304348,18.43171296
106,FAL,AR,03:45,5,100,660,57,43,38,72,10,0,20,1.5,0,10,3697,72.78491379,21.13425926
107,F2000,AR,02:45,2,100,525,42,44,40,81,10,0,20,1.5,0,10,3101,60.84180791,17.01388889
108,CZ-805,AR,03:10,3,100,580,43,49,41,75,10,0,20,1.5,0,10,3248,60.50452303,18.90817901
109,MG5,MG,06:45,5,100,990,85,27,27,120,10,0,5,1.5,11,4,4609,92.58667883,29.60069444
110,FG42,MG,04:50,2,100,745,87,28,33,121,10,0,5,1.5,8,4,3871,83.11102123,23.13753858
111,AAT-52,MG,04:50,2,100,910,79,24,22,118,10,0,5,1.5,10,4,3867,79.0887574,26.33101852
112,内格夫,MG,06:35,5,100,870,84,35,36,139,10,0,5,1.5,9,4,4620,92.83774238,27.52314815
113,谢尔久科夫,HG,00:35,3,100,350,33,58,68,59,10,0,20,1.5,0,15,2553,37.23123288,13.23302469
114,维尔德MkⅡ,HG,01:00,5,100,400,28,71,90,52,10,0,40,1.5,0,15,2927,32.37458472,16.82098765
115,索米,SMG,02:25,5,100,1100,28,15,56,93,10,0,5,1.5,0,12,4201,29.30859375,39.04320988
116,Z-62,SMG,02:05,3,100,840,28,15,77,77,10,0,5,1.5,0,12,3843,24.68092105,33.21759259
117,PSG-1,RF,04:20,4,100,465,120,73,26,39,10,0,40,1.5,0,7,3716,96.27093301,13.81365741
118,9A-91,AR,03:35,4,100,580,42,49,50,78,10,0,20,1.5,0,10,3462,59.17475329,19.91512346
119,OTs-14,AR,04:02,5,100,550,49,54,54,75,10,0,20,1.5,0,10,3682,70.00228833,19.30941358
120,ARX-160,AR,03:15,3,100,495,49,48,48,73,10,0,20,1.5,0,10,3280,64.74285714,16.80555556
121,Mk48,MG,06:20,4,100,870,90,25,26,112,10,0,5,1.5,10,4,4224,90.46994275,25.84490741
122,G11,AR,04:04,5,100,605,43,44,41,95,10,0,20,1.5,0,10,3682,74.65084746,19.72318673
123,P99,HG,00:35,3,100,300,31,56,87,61,10,0,20,1.5,0,15,2543,36.33098592,12.44212963
124,Super SASS,RF,04:00,3,100,440,115,65,27,39,10,0,40,1.5,0,7,3495,90.44407895,13.1558642
125,MG4,MG,06:40,5,100,910,84,34,34,139,10,0,5,1.5,9,4,4626,92.02575047,28.4375
126,NZ75,HG,01:05,5,100,365,33,62,74,63,10,0,20,1.5,0,15,2818,41.01242236,14.22260802
127,79式,SMG,02:35,5,100,970,32,12,70,88,10,0,5,1.5,0,12,4203,27.73529412,37.04861111
128,M99,RF,04:55,5,100,440,157,81,32,32,10,0,40,1.5,0,7,3986,105.3220109,13.58024691
129,95式,AR,03:50,5,100,580,55,52,46,71,10,0,20,1.5,0,10,3688,70.12793177,19.46759259
130,97式,AR,03:50,5,100,580,54,51,46,72,10,0,20,1.5,0,10,3674,72.0375,19.46759259
131,EVO 3,SMG,01:50,3,100,970,23,13,68,93,10,0,5,1.5,0,12,3977,22.75362723,36.67438272
132,59式,HG,00:45,3,100,300,28,61,96,61,10,0,20,1.5,0,15,2568,33.66036184,12.96296296
133,63式,AR,02:45,2,100,495,51,40,40,73,10,0,20,1.5,0,10,3089,64.2,16.04166667
134,AR70,AR,03:10,3,100,550,50,44,41,71,10,0,20,1.5,0,10,3246,61.52542373,17.93016975
135,SR-3MP,SMG,02:33,5,100,970,31,12,67,90,10,0,5,1.5,0,12,4117,28.61458333,36.48726852
136,PP-19,SMG,02:20,4,100,880,26,14,74,91,10,0,5,1.5,0,12,3969,26.44234914,34.29012346
137,PP-19-01,SMG,02:18,4,100,970,27,13,68,85,10,0,5,1.5,0,12,4039,24.77442227,36.67438272
138,6P62,AR,03:20,3,100,605,69,37,33,54,10,0,20,1.5,0,10,3172,62.18055556,18.78954475
139,Bren Ten,HG,00:28,2,100,350,31,51,63,58,10,0,20,1.5,0,15,2372,34.17,12.89544753
140,PSM,HG,00:35,3,100,285,24,67,112,65,10,0,20,1.5,0,15,2609,31.06654295,13.19444444
141,USP Compact,HG,00:28,2,100,330,24,60,86,64,10,0,20,1.5,0,15,2479,30.4173913,13.62268519
142,Five-seveN,HG,00:57,5,100,315,31,57,97,66,10,0,20,1.5,0,15,2840,39.78125,13.671875
143,RO635,SMG,02:35,5,100,970,27,14,71,97,10,0,5,1.5,0,12,4260,29.19482759,37.23572531
144,MT-9,SMG,02:05,3,100,1015,25,13,60,88,10,0,5,1.5,0,12,3884,23.09480042,36.80941358
145,OTs-44,RF,03:50,3,100,400,157,67,32,32,10,0,40,1.5,0,7,3722,101.9920467,12.34567901
146,G28,RF,04:20,4,100,440,119,80,29,39,10,0,40,1.5,0,7,3739,96.93074792,13.32561728
147,SSG 69,RF,03:50,3,100,400,130,82,39,30,10,0,40,1.5,0,7,3384,82.29328845,12.88580247
148,IWS 2000,RF,04:52,5,100,440,162,78,29,32,10,0,40,1.5,0,7,4002,107.9747546,13.32561728
149,AEK-999,MG,06:20,4,100,825,89,29,28,120,10,0,5,1.5,10,4,4335,95.34368427,24.82638889
150,希普卡,SMG,02:18,4,100,840,24,14,79,95,10,0,5,1.5,0,12,3951,26.22586207,33.54166667
151,M1887,SG,08:05,5,100,1375,39,12,12,22,10,22,40,1.5,4,6,5118,24.66873065,81.29222973
152,M1897,SG,07:30,3,100,1265,35,11,11,26,10,21,40,1.5,4,6,4524,24.56575682,70.44671474
153,M37,SG,07:45,4,100,1265,33,12,12,26,10,22,40,1.5,4,6,4756,24.43010753,74.78885135
154,M500,SG,07:20,3,100,1320,31,11,10,29,10,21,40,1.5,4,6,4578,24.01085973,72.98076923
155,M590,SG,07:40,4,100,1320,32,11,10,31,10,22,40,1.5,4,6,4769,25.94871795,76.92567568
156,Super-Shorty,SG,07:50,4,100,1210,28,14,19,30,10,20,40,1.5,3,6,4858,25.04262829,67.78582317
157,KSG,SG,08:00,5,100,1265,29,13,12,30,10,24,40,1.5,5,6,5076,26.0214168,83.85416667
158,KS-23,SG,07:25,3,100,1375,40,9,10,25,10,21,40,1.5,3,6,4692,23.41836735,76.02163462
159,RMB-93,SG,07:30,3,100,1210,30,11,13,28,10,22,40,1.5,4,6,4591,22.58555133,72.04814189
160,Saiga-12,SG,08:05,5,100,1320,29,12,11,35,10,23,40,1.5,5,6,5055,28.15642458,81.91071429
161,97式霰,SG,07:30,4,100,1320,33,12,13,27,10,20,40,1.5,3,6,4736,24.51798561,70.92987805
162,SPAS-12,SG,07:40,4,100,1375,33,11,9,32,10,21,40,1.5,4,6,4742,27.60981997,75.47075321
166,CZ75,HG,01:05,5,100,330,34,62,74,66,10,0,20,1.5,0,15,2781,44.08441558,12.8587963
167,HK45,HG,00:40,3,100,330,34,58,80,55,10,0,20,1.5,0,15,2570,35.44444444,13.24074074
168,Spitfire,HG,00:52,4,100,350,33,60,71,59,10,0,20,1.5,0,15,2632,37.488,13.43557099
169,SCW,SMG,02:00,3,100,840,30,12,68,91,10,0,5,1.5,0,12,3672,27.76041667,31.75925926
170,ASh-12.7,AR,03:20,3,100,550,65,41,36,59,10,0,20,1.5,0,10,3212,65.23392857,17.39969136
171,利贝罗勒,AR,03:40,4,100,550,64,44,40,63,10,0,20,1.5,0,10,3430,71.15549005,17.82407407
172,RFB,AR,03:58,5,100,525,69,68,49,54,10,0,30,1.5,0,10,3697,74.85006693,17.92534722
173,PKP,MG,06:50,5,100,825,95,31,29,127,10,0,5,1.5,10,4,4621,104.4173407,24.98553241
174,八一式马,RF,03:50,3,100,375,123,79,41,32,10,0,40,1.5,0,7,3359,82.54440333,12.22511574
175,ART556,AR,03:55,5,100,580,53,53,49,69,10,0,20,1.5,0,10,3647,67.97584034,19.80324074
176,TMP,SMG,02:10,3,100,750,28,14,77,93,10,0,5,1.5,0,12,3636,28.29795259,29.65856481
177,KLIN,SMG,02:20,4,100,950,25,11,74,95,10,0,5,1.5,0,12,4112,23.85096154,37.01774691
178,F1,SMG,01:50,3,100,1060,26,14,60,79,10,0,5,1.5,0,12,3993,23.50431034,38.44135802
179,DSR-50,RF,04:45,5,100,410,163,87,33,31,10,0,40,1.5,0,7,3989,105.8713235,12.73341049
180,PzB39,RF,04:30,4,100,420,148,71,31,32,10,0,40,1.5,0,7,3691,97.23913043,12.88194444
181,T91,AR,03:48,5,100,620,51,44,46,76,10,0,20,1.5,0,10,3693,69.2970562,20.81018519
182,wz.29,RF,03:50,3,100,485,113,65,33,32,10,0,40,1.5,0,7,3257,73.44293478,15.0626929
183,竞争者,HG,01:02,5,100,330,46,85,82,44,10,0,40,1.5,0,15,2884,43.65,13.36805556
184,T-5000,RF,04:10,4,100,450,126,85,28,36,10,0,40,1.5,0,7,3717,95.90487805,13.54166667
185,阿梅利,MG,06:25,4,100,705,83,38,42,149,10,0,5,1.5,8,4,4276,89.76347709,23.11921296
186,P226,HG,00:35,3,100,365,29,58,63,61,10,0,20,1.5,0,15,2479,34.41267123,13.44810957
187,Ak 5,AR,03:40,4,100,580,51,48,38,75,10,0,20,1.5,0,10,3452,70.79699248,18.57253086
188,S.A.T.8,SG,08:10,5,100,1410,29,13,12,33,10,22,40,1.5,4,6,5252,27.35064935,83.36148649
189,USAS-12,SG,07:55,4,100,1300,29,11,10,37,10,22,40,1.5,5,6,4749,27.8396072,75.76013514
190,NS2000,SG,07:15,3,100,1265,33,12,11,27,10,20,40,1.5,5,6,4446,25.54722639,67.01028963
191,M12,SMG,01:55,3,100,1015,26,15,64,76,10,0,5,1.5,0,12,3988,23.0625,37.59259259
192,JS05,RF,04:49,5,100,450,158,88,32,31,10,0,40,1.5,0,7,3986,102.8446602,13.88888889
193,T65,AR,03:05,3,100,620,54,44,40,76,10,0,20,1.5,0,10,3589,73.18287244,20.09259259
194,K2,AR,03:52,5,100,635,50,51,42,78,10,0,20,1.5,0,10,3744,70.46052632,20.82368827
195,HK23,MG,05:25,3,100,745,80,34,34,135,10,0,5,1.5,9,4,4120,87.52776525,23.28125
196,Zas M21,AR,04:05,5,100,605,55,48,41,74,10,0,20,1.5,0,10,3685,72.28571429,19.72318673
197,卡尔卡诺M1891,RF,04:38,5,100,400,138,85,42,34,10,0,40,1.5,0,7,3896,97.71136364,13.11728395
198,卡尔卡诺M91/38,RF,04:42,5,100,365,146,90,44,34,10,0,40,1.5,0,7,3998,104.1428571,12.11033951
199,80式,MG,06:15,4,100,870,93,26,24,118,10,0,5,1.5,10,4,4294,95.5,25.50925926
200,XM3,RF,04:20,4,100,410,130,90,32,35,10,0,40,1.5,0,7,3723,97.34693878,12.65432099
201,猎豹M1,RF,04:20,3,100,440,143,77,28,30,10,0,40,1.5,0,7,3484,89.4689441,13.24074074
210,MP-443,HG,00:45,3,100,350,33,53,71,59,10,0,20,1.5,0,15,2560,36.52323529,13.43557099
1001,诺爱尔,HG,01:00,5,100,300,39,60,82,65,10,0,20,1.5,0,15,2861,47.63478261,12.15277778
1002,艾尔菲尔特,SG,08:30,5,100,1375,36,13,9,28,10,23,40,1.5,5,6,5096,29.83771252,84.09598214
1003,琪亚娜,HG,01:00,5,100,350,31,53,76,64,10,0,20,1.5,0,15,2714,37.46259591,13.77314815
1004,雷电芽衣,RF,04:50,5,100,420,146,70,32,34,10,0,40,1.5,0,7,3843,100.0588235,12.96296296
1005,布洛妮娅,RF,04:50,5,100,405,132,77,33,37,10,0,40,1.5,0,7,3849,101.313587,12.578125
1006,德丽莎,HG,01:00,5,100,415,30,47,79,54,10,0,20,1.5,0,15,2770,30.11200717,16.57118056
1007,无量塔姬子,AR,03:55,5,100,605,58,45,42,64,10,0,20,1.5,0,10,3519,65.10326087,19.83989198
1008,希儿,SG,08:00,5,100,1235,35,11,13,27,10,22,40,1.5,5,6,4810,25.68907854,73.53673986
20002,M1911,HG,00:20,4,120,375,29,52,78,58,10,0,20,1.5,0,15,2841,32.27104478,14.90162037
20051,FN-49,RF,03:10,4,120,475,120,64,33,34,10,0,40,1.5,0,7,3677,81.19677791,14.75212191
20055,M4A1,AR,03:35,5,120,565,50,50,50,80,10,0,20,1.5,0,10,3966,74.03846154,19.40007716
20093,IDW,SMG,01:10,4,120,770,27,16,92,75,10,0,5,1.5,0,12,4177,24.6417657,32.67746914
20094,64式,SMG,01:25,4,120,905,28,12,70,93,10,0,5,1.5,0,12,4133,26.05208333,34.56597222
